ticker,created,id,tweet
MMM,Mon Apr 04 18:53:44 +0000 2022,1.51E+18, MMM open interest for maturity 04 08 2022  High put 145 00 High call 152 50 PutCallRatio 0 91  maxpain  options https   t co aHXahUSCdG https   t co cmojteFgiv
MMM,Mon Apr 04 16:55:27 +0000 2022,1.51E+18,   MMM price target update    Target Lowered by Barclays From  170 00 to  155 00  Day quote change   149 33   0 23   Target upside  3 8   Published  April 4  2022 https   t co IQv1jXSybp
MMM,Mon Apr 04 16:00:46 +0000 2022,1.51E+18, MMM 13 has crossed above    48 and ERROR retrieving 200 data  check manually  for the 15m intverval  12 00 02 PM
MMM,Mon Apr 04 14:30:00 +0000 2022,1.51E+18,   MMM price target update    Target Lowered by Barclays From  170 00 to  155 00  Day quote change   148 4   0 84   Target upside  4 45   Published  April 4  2022 https   t co IQv1jXSybp
MMM,Fri Apr 01 14:48:13 +0000 2022,1.51E+18,Stock   MMM        REALTIME TREND     BUY BUY   95 00   SELL   5 00   Try now the Best Pivot Point Calculator   https   t co A5q3ahyp0L  tradingview  stocks  stockstowatch
MMM,Thu Mar 31 22:51:05 +0000 2022,1.51E+18,Stock   MMM        REALTIME TREND     BUY BUY   95 00   SELL   5 00   Try now the Best Pivot Point Calculator   https   t co Q5ES63osKo  tradingview  stocks  stockstowatch
MMM,Thu Mar 31 22:30:02 +0000 2022,1.51E+18,Nice print for  MMM Size  576925 Price  148 88 Amount   85 892 594 00 Time  1830 See more  https   t co x8vyKsOMns Join https   t co JWvlYbdLod to get REAL TIME prints  Runners    https   t co VC1LdPHaJR Losers    https   t co 9MWV4THfhQ Gappers    https   t co bHQKF1W40n
MMM,Thu Mar 31 20:28:37 +0000 2022,1.51E+18, MMM open interest for maturity 04 01 2022  High put 146 00 High call 152 50 PutCallRatio 0 87  maxpain  options https   t co QUOv8vhRyY https   t co ExqCGRVKuk
MMM,Thu Mar 31 17:33:06 +0000 2022,1.51E+18,Stock   MMM        REALTIME TREND     BUY BUY   95 00   SELL   5 00   Try now the Best Pivot Point Calculator   https   t co Dr8tmz4fv3  tradingview  stocks  stockstowatch
AOS,Mon Apr 04 14:50:02 +0000 2022,1.51E+18, AOS  15s  delayed   Issued Press Release on April 04  10 41 00  A  O  Smith to Hold First Quarter Conference Call on April 28  2022 https   t co ToidCwneqd
AOS,Mon Apr 04 12:36:01 +0000 2022,1.51E+18, AOS Max Pain is 70 00 for maturity 04 14 2022   maxpain  options https   t co 80mQDiNDF0 https   t co Tpt07lY8Bx
ABT,Mon Apr 04 20:06:10 +0000 2022,1.51E+18, ABT 13 has crossed above    48 and ERROR retrieving 200 data  check manually  for the 15m intverval  04 00 02 PM
ABT,Mon Apr 04 15:59:01 +0000 2022,1.51E+18, ABT Strike  110 00 Expiration  2022 05 20 Put  ABT220520P110 Price  1 51 Size  2500 Time  2022 04 04 11 59 01AM Premium   377 500 00
ABT,Fri Apr 01 14:08:50 +0000 2022,1.51E+18, ABT 13 has crossed below    48 and ERROR retrieving 200 data  check manually  for the 60m intverval  10 00 02 AM
ABT,Fri Apr 01 00:51:05 +0000 2022,1.51E+18,Stock   ABT        REALTIME TREND     BUY BUY   95 00   SELL   5 00   Try now the Best Pivot Point Calculator   https   t co igRx3lt7Cm  tradingview  stocks  stockstowatch
ABT,Thu Mar 31 19:33:06 +0000 2022,1.51E+18,Stock   ABT        REALTIME TREND     BUY BUY   95 00   SELL   5 00   Try now the Best Pivot Point Calculator   https   t co W8CKgFz1jW  tradingview  stocks  stockstowatch
ABT,Thu Mar 31 12:40:44 +0000 2022,1.51E+18, ABT high OI range is 119 00 to 126 00 for option expiration 04 01 2022 PutCallRatio 0 88  maxpain  options https   t co evVhhahgh9 https   t co 90OJl26Mwd
ABBV,Mon Apr 04 19:00:34 +0000 2022,1.51E+18,AbbVie Inc    ABBV    QUOTE  ABBV is DOWN   on Mon Apr 04 Currently at 162 00 USD for a  0 42  loss from previous close          ANALYSIS AbbVie Inc should be nationalized      
