ticker,change,volume
MRK,0.016019413,10591920
FB,0.017511477,25419120
MET,-0.022616155,4063360
MTD,-0.040355955,144980
MGM,-0.034754402,4361940
MCHP,-0.082471568,4586600
MU,-0.05747856,36730360
MSFT,-0.009494617,27223420
MAA,-0.008121665,702260
MRNA,-0.073576465,6036560
MHK,-0.058351731,736060
MOH,-0.035415069,334800
TAP,-0.053591158,1174460
MDLZ,0.0041434,6594040
MPWR,-0.100368529,531660
MNST,0.022982813,2206720
MCO,0.012236888,761580
MS,-0.055278587,8717880
MOS,0.034035462,7371200
MSI,-0.013746979,799440
MSCI,0.005781104,672660
NDAQ,0.000879637,851780
NTAP,-0.062608273,1596320
NFLX,-0.003460318,4806820
NWL,-0.033288339,3436800
NEM,-0.001250606,6922000
NWSA,-0.033816445,1857580
NWS,-0.030789206,357600
NEE,0.009707624,7406860
NLSN,0.011838686,15848660
NKE,-0.045041075,5914980
NI,0.007908889,3626180
NDSN,-0.029881303,178520
NSC,-0.093031279,1740960
NTRS,-0.043229824,843680
NOC,0.001500062,652140
NLOK,-0.00551672,3767420
NCLH,0.045711652,17701940
NRG,-0.010520819,2151960
NUE,-0.004482493,2464700
NVDA,-0.063524726,46743920
NVR,-0.060185562,31420
NXPI,-0.065445974,2609140
ORLY,-0.008671613,555060
OXY,-0.030619317,24315100
ODFL,-0.134909415,1472440
OMC,-0.058142192,1745320
OKE,-0.026077294,2111420
ORCL,-0.005038366,6827860
OGN,-0.011449311,1685140
OTIS,-0.033440495,1944480
PCAR,-0.073378133,2058300
PKG,-0.017785385,557100
PARA,-0.033070823,6971460
PH,-0.059043379,702280
PAYX,0.017240124,2766500
PAYC,0.019840995,355180
PYPL,-0.007089175,13904000
PENN,-0.04931814,2987460
PNR,-0.044664954,1272400
PEP,0.009168809,4285580
PKI,-0.069023514,702620
PFE,-0.022883238,22872760
PM,0.018309572,5004080
PSX,-0.017497698,3592280
PNW,0.010426021,679360
PXD,-0.052145921,1506440
PNC,-0.043726716,2428220
POOL,-0.035377345,427940
PPG,-0.003986752,1293020
PPL,0.000348374,6991960
PFG,-0.002414167,1389060
PG,0.001489706,6541100
PGR,-0.025091703,2198620
PLD,0.013037647,2981360
PRU,-0.028678342,1559240
PEG,0.008864671,2186680
PTC,-0.03809876,530560
PSA,-0.001110669,700920
PHM,-0.055029288,3067140
PVH,-0.109928694,2799680
QRVO,-0.074472242,1320060
PWR,-0.015587148,1372060
QCOM,-0.04760027,15191080
DGX,-0.038068569,1342140
RL,-0.075927196,801200
RJF,-0.029199006,1292300
RTX,-0.020033762,4462280
O,0.005549223,3254380
REG,-0.025417825,855900
REGN,-0.001314357,736780
RF,-0.058719644,9390280
RSG,-0.010542714,984460
RMD,-0.014176133,475600
RHI,-0.049560981,951320
ROK,-0.005770857,780480
ROL,-0.01664786,977500
ROP,-0.003324127,481540
ROST,0.005830914,2429060
RCL,0.024054971,3460280
SPGI,-0.016875539,1823440
CRM,-0.022331827,6649620
SBAC,0.051285777,701360
SLB,-0.041459371,11024540
STX,-0.035241339,1578960
SEE,-0.025922623,825300
SRE,-0.015451595,1712160
NOW,-0.036185334,1634780
SHW,0.019603995,1508660
SBNY,-0.077658458,797040
SPG,-0.031233709,1738540
SWKS,-0.062170059,1852120
SJM,0.021426448,793100
SNA,-0.013110074,307840
SEDG,0.04601722,986200
SO,0.02551722,5414020
LUV,-0.007899948,5339220
SWK,-0.010343834,2144320
SBUX,-0.075908998,11942480
STT,-0.073824807,2459860
STE,-0.000772713,438160
SYK,-0.002377999,1402940
SIVB,-0.065744868,538840
SYF,-0.01287431,6153820
SNPS,-0.014672735,825500
SYY,-0.0059043,2404600
TMUS,0.026047789,4762820
TROW,0.011430437,1493760
TTWO,-0.026656438,1260580
TPR,-0.120245068,3552500
TGT,-0.032303177,3200240
TEL,-0.04536266,1611640
TDY,0.017247218,309300
TFX,-0.016537021,332940
TER,-0.075353179,1525500
TSLA,-0.002495435,21667160
TXN,-0.054787967,5453880
TXT,-0.057579712,1220220
TMO,-0.018264294,1173780
TJX,-0.004677434,7193320
TSCO,-0.035860021,1221160
TT,-0.024213358,1636140
TDG,-0.031057109,401360
